date,price,total_transactions,total_amount,average_amount,average_fee
2017120101,10056.8353,37807.0,2.135263488782E13,564779931.9655,564779931.9655
2017120102,10108.2709,25746.0,1.8426399027739E13,715699488.3764,715699488.3764
2017120103,10142.2815,25120.0,2.1957206700487E13,874092623.427,874092623.427
2017120104,10105.9279,35300.0,2.2336083355717E13,632750236.7059,632750236.7059
2017120105,10166.8986,34150.0,2.090352624466E13,612109114.0457,612109114.0457
2017120106,10082.1577,35629.0,1.7475599178103E13,490488062.4801,490488062.4801
2017120110,10343.6687,36129.0,1.8180733629336E13,503217183.6845,503217183.6845
2017120111,10367.533,43649.0,1.6809127613676E13,385097656.617,385097656.617
2017120112,9938.7826,23841.0,1.143754901648E13,479742838.6595,479742838.6595
2017120201,10967.1277,27449.0,1.4288871678951E13,520560737.3293,520560737.3293
2017120202,11038.9506,25247.0,2.0226075871845E13,801127891.3077,801127891.3077
2017120203,10959.1212,27635.0,1.4485081132592E13,524157088.2067,524157088.2067
2017120204,10928.7376,22506.0,1.6571006159566E13,736292817.8959,736292817.8959
2017120205,10832.6617,43262.0,2.4216241458575E13,559757788.7887,559757788.7887
2017120206,10863.8237,25564.0,1.8072704140254E13,706959166.807,706959166.807
2017120207,10948.4265,12770.0,1.1584409942962E13,907158178.7754,907158178.7754
2017120208,10931.1311,4765.0,9.304217050147E12,1952616379.8839,1952616379.8839
2017120209,10954.0033,12280.0,1.3253658425466E13,1079288145.3963,1079288145.3963
2017120210,11026.2409,16375.0,1.708067806012E13,1043094843.3661,1043094843.3661
2017120211,11050.1722,8827.0,1.1451296046438E13,1297303279.3064,1297303279.3064
2017120212,10898.5522,43468.0,2.3675223610399E13,544658682.4882,544658682.4882
