date,price,total_transactions,total_amount,average_amount,average_fee
20171201,10200.9003,412908.0,2.31911791462828E14,561654875.8145,561654875.8145
20171202,10956.4513,326354.0,2.14279041723746E14,656584695.5262,656584695.5262
20171203,11323.7934,353044.0,1.87046410432922E14,529810478.1073,529810478.1073
20171204,11395.7226,400686.0,2.61335417930203E14,652219987.5469,652219987.5469
20171205,11722.3817,405709.0,3.01598276508613E14,743385718.6028,743385718.6028
20171206,12732.0307,443587.0,3.53151098127536E14,796125896.6731,796125896.6731
20171207,15476.59,374917.0,3.44900895834805E14,919939335.4657,919939335.4657
20171208,16144.5227,385092.0,2.49242701359841E14,647228977.3868,647228977.3868
20171209,15574.1544,403399.0,2.89516990410456E14,717693872.3459,717693872.3459
20171210,14779.1601,341420.0,1.98767508041952E14,582178864.8642,582178864.8642
20171211,16693.2607,368598.0,2.68792277010923E14,729228799.4263,729228799.4263
20171212,17159.2487,372977.0,3.3021292571241E14,885343937.327,885343937.327
20171213,17137.7936,424579.0,3.26755070839996E14,769597815.3418,769597815.3418
20171214,16791.3052,490644.0,2.94354264672696E14,599934503.7801,599934503.7801
20171215,17548.5425,405676.0,2.75664927952242E14,679519932.0449,679519932.0449
20171216,18467.8202,364222.0,2.35610292275223E14,646886493.0598,646886493.0598
20171217,19537.6533,391910.0,2.38906295524274E14,609594793.5094,609594793.5094
20171218,18883.0864,394239.0,3.00575129995242E14,762418558.2736,762418558.2736
20171219,18400.0479,378622.0,1.98489772988429E14,524242576.9988,524242576.9988
20171220,16866.5797,370277.0,2.22787517809029E14,601677981.1034,601677981.1034
20171221,16345.5867,335482.0,1.79108642938157E14,533884509.2677,533884509.2677
20171222,13930.1338,380648.0,1.90169895018683E14,499595150.9497,499595150.9497
20171223,15103.1532,308211.0,1.78122926358274E14,577925273.1352,577925273.1352
20171224,14166.8492,279523.0,1.42732852493321E14,510630082.2949,510630082.2949
20171225,14188.4959,228926.0,1.81062709798566E14,790922436.9384,790922436.9384
20171226,15365.2503,247440.0,2.18522190059279E14,883132032.2473,883132032.2473
20171227,15654.3413,307642.0,2.32358361840241E14,755288165.5959,755288165.5959
20171228,14293.128,305053.0,2.06741747415754E14,677724026.3684,677724026.3684
20171229,14556.9577,353824.0,2.31105765922842E14,653165884.5156,653165884.5156
20171230,13581.4299,344407.0,2.24396234386691E14,651543767.6548,651543767.6548
20171231,13387.5584,290422.0,1.63812554625116E14,564050087.8897,564050087.8897
20180101,13425.6928,241757.0,1.68324482942738E14,696254846.5721,696254846.5721
20180102,13898.0032,340980.0,2.53693859565959E14,744013899.8356,744013899.8356
20180103,14990.0592,395963.0,2.81688461237679E14,711400967.3573,711400967.3573
20180104,14851.7268,425008.0,2.73782546133884E14,644182100.4167,644182100.4167
20180105,15797.6566,342707.0,2.92123073442496E14,852398910.5635,852398910.5635
20180106,16662.2485,358847.0,2.97961508569446E14,830330220.3152,830330220.3152
20180107,16526.6629,368187.0,2.75717942461314E14,748853008.0131,748853008.0131
20180108,15328.2545,345672.0,2.52092689168356E14,729282930.5479,729282930.5479
20180109,14894.2943,360265.0,2.24601172906945E14,623433230.8355,623433230.8355
20180110,14221.4925,347393.0,2.16297976075198E14,622631935.8053,622631935.8053
20180111,13712.7808,337959.0,1.85845048095441E14,549904124.7472,549904124.7472
20180112,13658.756,300091.0,1.77951571814413E14,592992031.7984,592992031.7984
20180113,14213.2384,265735.0,1.36509769524725E14,513706397.4438,513706397.4438
20180114,13694.3764,235045.0,1.26917279926963E14,539970133.068,539970133.068
20180115,13786.2247,273623.0,1.49781016814613E14,547399220.1482,547399220.1482
20180116,12193.1271,303725.0,2.88928658911243E14,951283756.3956,951283756.3956
20180117,10690.5322,315771.0,2.46952619424984E14,782062378.8283,782062378.8283
20180118,11482.5882,309495.0,2.15672420053858E14,696852679.5388,696852679.5388
20180119,11495.3656,243619.0,1.95349950915414E14,801866647.9848,801866647.9848
20180120,12423.7045,240611.0,1.4603776995824E14,606945526.0077,606945526.0077
20180121,11876.4979,215622.0,1.10852507146823E14,514105736.6448,514105736.6448
20180122,11093.0311,245562.0,1.52553199580509E14,621241069.793,621241069.793
20180123,10694.8527,271936.0,1.53951445965913E14,566131170.4442,566131170.4442
20180124,10972.4485,250423.0,1.50276371387057E14,600090133.0431,600090133.0431
20180125,11259.2359,236580.0,1.35749031663827E14,573797580.7922,573797580.7922
20180126,10992.57,220459.0,1.70217738888987E14,772106100.8577,772106100.8577
20180127,11177.3838,193578.0,1.3633010679762E14,704264465.9911,704264465.9911
20180128,11426.1123,213446.0,3.12890609631931E14,1465900553.9196,1465900553.9196
20180129,11137.2793,232176.0,1.94104885270311E14,836024762.5522,836024762.5522
20180130,10620.3131,236609.0,2.35967126612026E14,997287197.9173,997287197.9173
20180131,9978.9507,204276.0,1.78570848638855E14,874164603.9616,874164603.9616
