datehour_only,avgDifficulty,avgNodes,avgMempoolTxs,avgPriceUSD,avgTx24h,avgVolume24h,avgTxFee24h,avgInflatUSD24h,avgNextAvgPrice
2019-09-21 12,11890594958796.0000,9142.0000,7303.5000,9998.4900,339159.0000,82233432329065.0000,8232.0000,18997131.0000,9990.5291
2019-09-21 13,11890594958796.0000,9171.6154,6803.9658,9990.5291,344595.0171,83967770023288.6600,8202.2906,19431349.3536,10002.2013
2019-09-21 14,11890594958796.0000,9188.7069,7458.3534,10002.2013,345900.0690,83542180766667.9700,7955.5086,19510746.6056,10030.1509
2019-09-21 15,11890594958796.0000,9184.1333,4032.0133,10030.1509,348307.2000,82006174109924.6400,7744.2400,19597316.0550,10019.6020
2019-09-21 16,11890594958796.0000,9188.4915,6015.6441,10019.6020,345019.3051,80580278397127.4400,7588.7119,19427981.3369,9994.1541
2019-09-21 17,11890594958796.0000,9175.2203,3534.1864,9994.1541,343844.6780,81073398111491.2500,7467.5254,19414435.9004,9996.7447
2019-09-21 18,11890594958796.0000,9201.1017,3177.6271,9996.7447,344623.3559,80653393893731.6900,7300.8136,19800727.7585,10008.8547
2019-09-21 19,11890594958796.0000,9197.1356,4506.3559,10008.8547,339457.3729,78583934175502.6700,7285.3898,19587225.5445,10001.5622
2019-09-21 20,11890594958796.0000,9199.1525,2062.8983,10001.5622,340177.5593,77352625378176.5500,7150.0000,20238331.1674,9982.0683
2019-09-21 21,11890594958796.0000,9160.2034,2142.2203,9982.0683,336251.9492,75231413576717.7500,7126.8136,20209466.4025,9990.1598
2019-09-21 22,11890594958796.0000,9176.1017,3063.4237,9990.1598,332228.6102,73705186068856.3100,7108.2034,20107337.3729,10001.9429
2019-09-21 23,11890594958796.0000,9165.9661,1853.7627,10001.9429,334014.4068,73010359095156.7200,7026.6610,20370459.3496,9981.5571
2019-09-22 00,11890594958796.0000,9130.7458,2178.7458,9981.5571,335141.0339,72821931712551.5600,6929.4746,20832117.2436,9933.8452
2019-09-28 00,12759819404409.0000,9182.5000,2316.2000,8192.8375,307822.6000,93007080426076.4000,11222.2000,13364561.9563,8183.6983
2019-09-28 01,12759819404409.0000,9163.1667,3734.5000,8183.6983,306301.2667,92939463656695.6000,11252.3500,13257673.8375,8161.0598
2019-09-28 02,12759819404409.0000,9150.4237,2788.2542,8161.0598,306304.1017,92960019999693.7200,11239.1525,13164928.5445,8169.6107
2019-09-28 03,12759819404409.0000,9165.3333,4022.9833,8169.6107,302966.2667,91836309646499.5200,11259.7833,13083353.8708,8192.4850
